,90:10,80:20,70:30,60:40,50:50
2022Q4,128.7,119.2,109.4,99.4,89.3
2023Q1,15.8,15.1,14.1,13.0,11.6
2023Q2,4.5,7.3,9.7,11.9,13.8
2023Q3,-25.2,-23.8,-22.5,-21.2,-20.0
2023Q4,26.9,28.1,28.7,28.8,28.4
2024Q1,-10.2,-6.4,-2.7,0.7,4.0
2024Q2,0.5,0.7,0.8,0.5,-0.0
2024Q3,108.4,95.8,83.4,71.1,59.2
2024Q4,489.5,400.2,320.4,249.7,188.0
2025Q1,27.2,26.9,26.1,24.9,23.1
2025Q2,42.3,37.8,33.0,27.9,22.7
2025Q3,424.5,341.0,269.3,207.9,155.6
2025Q4,102.0,94.7,87.2,79.5,71.5
2026Q1,524.8,416.2,324.1,246.3,181.0
2026Q2,14.4,13.4,12.4,11.4,10.4
