name,period,final_equity,sharpe,calmar,max_dd_%,trades,WR%,PF
baseline,2022,1245.3,3.116,34.09,-33.9,35,57.1,5.53
baseline,2023,125.8,0.685,0.59,-44.1,51,51.0,1.1
add_SOLUSDT,2022,2072.9,3.352,59.01,-33.7,43,58.1,3.08
add_SOLUSDT,2023,34.1,-0.929,-0.81,-81.1,77,39.0,0.74
baseline,2024,3935.6,3.588,87.57,-43.8,96,52.1,2.25
add_SOLUSDT,2024,2961.7,3.264,58.89,-48.6,111,47.7,2.14
baseline,2025-26,17111.7,3.768,105.67,-51.3,109,56.0,4.01
add_SOLUSDT,2025-26,5312.0,3.022,35.21,-60.1,120,50.8,3.09
add_AVAXUSDT,2022,2352.9,3.519,72.66,-31.3,48,58.3,4.41
add_AVAXUSDT,2023,106.1,0.421,0.11,-55.2,67,46.3,1.01
add_AVAXUSDT,2024,3498.7,3.312,78.72,-43.2,111,49.5,1.8
add_XRPUSDT,2022,988.3,2.758,19.64,-45.6,46,50.0,3.07
add_XRPUSDT,2023,53.5,-0.575,-0.75,-62.2,64,42.2,0.78
add_AVAXUSDT,2025-26,21491.4,3.679,112.04,-57.9,120,55.8,3.84
add_XRPUSDT,2024,3838.6,3.309,74.17,-50.4,117,48.7,1.68
add_BNBUSDT,2022,838.9,2.743,12.79,-58.2,57,49.1,2.29
add_XRPUSDT,2025-26,20022.7,3.705,110.97,-55.3,129,55.0,3.05
add_BNBUSDT,2023,111.3,0.481,0.23,-49.7,69,44.9,1.04
add_BNBUSDT,2024,3087.4,3.369,67.86,-44.0,109,49.5,2.01
baseline,full,8416927.5,3.005,25.0,-52.4,293,53.6,3.95
add_BNBUSDT,2025-26,8504.7,3.259,58.78,-52.7,137,50.4,2.76
add_SOLUSDT,full,1008464.4,2.433,9.37,-81.1,353,47.9,3.03
add_combo_all,2022,5197.2,3.7,121.13,-42.6,86,52.3,2.27
add_combo_all,2023,20.0,-1.02,-0.88,-90.8,119,34.5,0.64
add_AVAXUSDT,full,13871214.7,2.929,23.52,-63.1,347,51.9,3.78
add_combo_all,2024,1590.3,2.576,26.57,-56.1,161,43.5,1.4
add_XRPUSDT,full,3058635.7,2.64,16.04,-63.2,357,49.6,3.01
add_combo_all,2025-26,2580.0,2.41,16.35,-71.0,170,47.1,2.09
add_BNBUSDT,full,1710487.0,2.625,15.0,-58.2,374,48.4,2.72
add_combo_all,full,421258.9,2.09,6.58,-91.4,537,43.9,2.0
