experiment,config,period,baseline_ref,final_equity,sharpe,calmar,max_dd_pct,win_rate_pct,profit_factor,trades
single_block,baseline,full,none,5048958.6,2.875,20.9,-55.1,52.4,3.49,315
single_block,block_btc_short,full,none,8416927.5,3.005,25.0,-52.4,53.6,3.95,293
single_block,block_arb_long,full,none,3369059.3,2.814,20.06,-51.8,52.6,4.21,306
single_block,block_S_emacross,full,none,1741652.1,2.741,17.98,-48.8,53.1,10.49,245
single_block,block_eth_long,full,none,2281801.0,2.746,17.06,-55.1,51.6,4.0,285
single_block,block_wednesday,full,none,653540.3,2.511,12.78,-53.0,51.1,5.23,272
single_block,block_S_all,full,none,653820.5,2.527,10.15,-66.7,51.3,10.25,234
single_block,baseline,2025-26,none,13237.8,3.583,81.72,-54.0,54.8,3.54,115
single_block,block_btc_short,2025-26,none,17111.7,3.768,105.67,-51.3,56.0,4.01,109
single_block,block_S_emacross,2025-26,none,14210.0,3.778,98.38,-47.5,60.0,11.03,90
single_block,block_S_all,2025-26,none,13507.8,3.747,94.48,-47.5,59.6,10.93,89
single_block,block_arb_long,2025-26,none,10468.6,3.497,72.29,-50.6,55.9,4.35,111
single_block,block_eth_long,2025-26,none,8489.5,3.361,57.25,-54.0,53.3,4.14,105
single_block,block_wednesday,2025-26,none,6669.6,3.304,49.1,-51.9,55.7,5.61,97
by_year,baseline,2022,none,1026.3,2.867,24.12,-38.7,52.1,3.32,48
by_year,block_S_emacross,2022,none,722.3,2.593,26.43,-23.7,52.9,3.33,34
by_year,block_btc_short,2022,none,1245.3,3.116,34.09,-33.9,57.1,5.53,35
by_year,Sema+btc_short,2022,none,742.3,2.645,20.81,-31.1,55.6,5.18,27
by_year,Sema+eth_long,2022,none,778.5,2.678,28.82,-23.7,54.5,3.47,33
by_year,baseline,2023,none,128.4,0.72,0.66,-43.0,51.9,1.11,54
by_year,block_S_emacross,2023,none,89.1,-0.002,-0.23,-47.4,48.6,0.93,37
by_year,block_btc_short,2023,none,125.8,0.685,0.59,-44.1,51.0,1.1,51
by_year,Sema+btc_short,2023,none,84.9,-0.106,-0.3,-49.9,45.7,0.9,35
by_year,Sema+eth_long,2023,none,80.4,-0.252,-0.42,-46.2,46.4,0.82,28
by_year,baseline,2024,none,3627.2,3.524,80.53,-43.8,51.0,2.23,96
by_year,block_S_emacross,2024,none,1712.6,2.97,36.82,-43.8,47.6,2.02,82
by_year,block_btc_short,2024,none,3935.6,3.588,87.57,-43.8,52.1,2.25,96
by_year,Sema+btc_short,2024,none,1714.5,2.973,36.86,-43.8,48.7,2.02,78
by_year,Sema+eth_long,2024,none,1192.1,2.729,24.94,-43.8,44.6,1.9,74
by_year,baseline,2025-26,none,13237.8,3.583,81.72,-54.0,54.8,3.54,115
by_year,block_S_emacross,2025-26,none,14210.0,3.778,98.38,-47.5,60.0,11.03,90
by_year,block_btc_short,2025-26,none,17111.7,3.768,105.67,-51.3,56.0,4.01,109
by_year,Sema+btc_short,2025-26,none,14676.4,3.828,100.14,-47.9,59.8,9.87,87
by_year,Sema+eth_long,2025-26,none,8640.3,3.481,66.06,-47.5,57.6,9.58,85
wednesday_on_btcshort,btc_short,2022,btc_short,1245.3,3.116,34.09,-33.9,57.1,5.53,35
wednesday_on_btcshort,btc_short+wednesday,2022,btc_short,719.6,2.568,15.54,-40.1,51.6,4.39,31
wednesday_on_btcshort,btc_short,2023,btc_short,125.8,0.685,0.59,-44.1,51.0,1.1,51
wednesday_on_btcshort,btc_short+wednesday,2023,btc_short,92.9,0.067,-0.16,-44.3,46.3,0.95,41
wednesday_on_btcshort,btc_short,2024,btc_short,3935.6,3.588,87.57,-43.8,52.1,2.25,96
wednesday_on_btcshort,btc_short+wednesday,2024,btc_short,2169.4,3.174,47.25,-43.8,50.6,2.14,87
wednesday_on_btcshort,btc_short,2025-26,btc_short,17111.7,3.768,105.67,-51.3,56.0,4.01,109
wednesday_on_btcshort,btc_short+wednesday,2025-26,btc_short,8076.0,3.48,60.72,-48.9,57.6,6.55,92
